ID,Timestamp,Do you like cats?,Do you like Dogs?,"If you were stranded on a desert island, what is the one item would you want to have with you?","If you were to create a slogan for your life, what would the slogan be? (Examples: ""Eat, drink, and be merry, for tomorrow, we all die."" ""Bite off more than you can chew."" ""There are far better things ahead than any we leave behind."")",What is your favorite day of the week?,"Are you a lark, an owl, or a hummingbird?",What is your favorite food?,What is your favorite drink?,What is your favorite season?,What is your favorite Month?,What is one hobby that you enjoy?,What is your degree program?,What is your primary specialization?,What is your primary statistical software?,"What is your level of R experience (1=None, 5=Advanced)?",How comfortable are you with coding?,How long have you been coding (in years or months)?,What are three things you hope to learn in this course?,"What is your major public health area of interest (e.g. cancer, heart disease, maternal child health, disparities, etc.)?",What is your weight in grams?,What is your height in cm?,What is your biological sex?,What is your home country?,What is your home state?,What is your home city?,What is your highest education level?
234,2018/01/10 10:32:32 AM CST,Yes,Ambivalent,A salt water filter,"Be anything, just don't be boring.",Saturday,Hummingbird (I am neither a lark nor an owl),Seafood pasta,Coffee,Fall,October,Improv,Faculty ,,SAS,3,4,>2 years,1. More statistics from our guest lecturers 2. Students teach me as much or more as I teach them 3. R in more depth,Cancer,54.4,158.12,Female,United States,MO,Webster Groves,Doctoral degree
648,2018/01/10 10:35:32 AM CST,Ambivalent,Yes,A good mystery novel. Or a piano.,One day at a time.,Sunday,Lark ( I am a morning person),"A really good, fresh loaf of french bread with butter",Espresso,Winter,October,Reading,MPH only,Generalist,SPSS,1,4,4-6 months,"Become proficient in R ( I've already learned SPSS, STATA, and SAS), better data management practices, and simply reaffirm my statistical analysis skills.",Women's health and maternal disparities,68000,177,Female,United States,Wisconsin,Madison,Bachelor's degree
584,2018/01/10 10:38:23 AM CST,Yes,Yes,knife,Nihil Perditi (Nothing Lost),Wednesday,Owl (I am a night person),Thai Food,Coffee,Fall,October,Biking,MPH only,Generalist,SPSS,2,4,7-9 months,Improved Coding,Social Determinants of Health and Community Health,89357,187.96,Male,United States,Missouri,St. Louis,Bachelor's degree
205,2018/01/10 12:22:55 PM CST,Yes,Yes,Swiss army knife,There is a surprise around every corner. ,Thursday,Hummingbird (I am neither a lark nor an owl),Blueberries,Coffee,Fall,October,Storytelling,MPH only,Epidemiology/Biostatistics,SPSS,2,2,4-6 months,"Data management, coding language, and new tests not previously covered in other courses",HIV and health disparities,61688.6,167.64,Female,US,Illinois,Columbia,Bachelor's degree
306,2018/01/10 6:38:34 PM CST,No,Yes,A boat,Hope for the best,Saturday,Hummingbird (I am neither a lark nor an owl),cake,lemonade,Spring,September,watching youtube videos ,MPH only,Epidemiology/Biostatistics,SPSS,1,4,9 months to 1 year,"learn how to use R, be sufficient in R, improve analytical skills",health disparities,66678.1,170.688,Male,USA,IL,Chicago,Bachelor's degree
644,2018/01/10 9:34:18 PM CST,Ambivalent,Yes,Matches,,Saturday,Lark ( I am a morning person),Sushi,Gin and tonic,Fall,December,Cross stitch,MPH only,Epidemiology/Biostatistics,SPSS,1,2,4-6 months,How to present data to a lay audience.,Climate change/ One Health approach to PH,68039,170.18,Female,US,Mo,St. Louis,Bachelor's degree
360,2018/01/12 9:31:43 AM CST,Yes,Yes,genie in magic lamp with 3 wishes ,"""Beat life harder than it beats you."" ",Saturday,Hummingbird (I am neither a lark nor an owl),Macaroni and cheese,lavender Italian Soda with cream,Summer,June,rock climbing,MPH only,Epidemiology/Biostatistics,Stata,3,3,>1 to 2 years,1. Advance knowledge of R  2. Improve knowledge and understanding of more advanced statistical methods ,infectious disease,49895.2,157.48,Female,USA,Nevada,Reno,Bachelor's degree
430,2018/01/14 12:17:36 PM CST,Yes,Yes,a good tool... like an axe or a knife,,Sunday,Hummingbird (I am neither a lark nor an owl),risotto,iced coffee,Fall,October,singing,MPH only,Epidemiology/Biostatistics,R,4,4,>1 to 2 years,"greater coding skills, more advanced statistical analysis, more applications for statistical analysis",reproductive health,56699,163,Female,United States,Missouri,Kirkwood,Bachelor's degree
593,2018/01/15 4:43:02 AM CST,Yes,Yes,Dog,Everything happens for a reason,Saturday,Owl (I am a night person),Sashimi,Cold brewed coffee,Spring,November,Walking in the nature,MPH only,Health policy analysis,R,3,5,>2 years,Be more comfortable with coding and learn how to communicate my work with others. ,Health insurance design ,64000,173,Female,Taiwan,Kaohsiung,Kaohsiung City,Master's degree
645,2018/01/15 4:18:54 PM CST,No,Yes,desert island survival handbook,"learn a lot about a few things, and a few things about a lot",Friday,Hummingbird (I am neither a lark nor an owl),cheese,water,Spring,July,cooking,MPH only,Epidemiology/Biostatistics,SAS,2,4,>1 to 2 years,Improve R skills; learn new advanced statistical topics; publish a paper,eye health or cancer,64440,180,Male,USA,California,Los Angeles,Bachelor's degree
210,2018/01/15 5:09:02 PM CST,Yes,Yes,,,Thursday,Hummingbird (I am neither a lark nor an owl),,,Fall,July,cooking ,MPH only,Epidemiology/Biostatistics,SPSS,3,2,4-6 months,"how to look at a dataset and study and know what statistical analyses to use, how to run and interpret complex statistical tests in r, communicating statistical results",infectious disease,47627.2,153,Female,US,Missouri,St. Louis,Bachelor's degree
343,2018/01/15 6:09:32 PM CST,Yes,Yes,Water purifier,"""Greater love has no one than this, than to lay one's life down for his friends.""",Friday,Lark ( I am a morning person),Macaroni and cheese,Fresh-squeezed Grapefruit juice,Fall,May,Painting,MPH only,Epidemiology/Biostatistics,SPSS,1,3,4-6 months,"How to analyze data in a more strategic way, to learn more advanced methods of data analysis and to be able to apply what I learn in this class to real-world job expectations ","diet and lifestyle-preventable diseases, lifestyle medicine, health behavior",53.5,153.67,Female,USA,Missouri,St. Louis,Bachelor's degree
657,2018/01/17 10:13:20 AM CST,Yes,Yes,My phone ,Don’t put the key to your happiness in someone else’s pocket.,Saturday,Owl (I am a night person),Ethiopian food ,Wine ,Fall,December,Photography ,MPH only,Epidemiology/Biostatistics,R,4,4,7-9 months,"Advanced data analysis skills
Data manipulation 
Data visualization ",Infectious disease ,7000,157,Female,Ethiopia ,Tigray Province ,Mekelle,Doctor of Medicine 
958,2018/01/17 11:54:49 AM CST,Ambivalent,Yes,Desalination capable water filter,Never Give up on your Dreams; they are worth it.,Thursday,Lark ( I am a morning person),Seafood Pasta,Moscow Mule,Fall,September,Rock Climbing,MPH only,Epidemiology/Biostatistics,R,4,4,>1 to 2 years,R Markdown. Advanced Coding. Application Design.,International Surgical Disparities,58060,165,Female,United States of America,California,San Diego,Bachelor's degree
