Drink,Category, Calories, Fat (g), Carb. (g), Fiber (g), Protein (g),
Chai Eggnog Latte,Lattes and Teas, , , , , ,
Chai Latte,Lattes and Teas, , , , , ,
Chestnut Praline Chai Tea Latte,Lattes and Teas, , , , , ,
Emperor's Cloud and Mist® Green Tea,Lattes and Teas, , , , , ,
Green Tea Latte,Lattes and Teas, , , , , ,
Honey Citrus Mint Tea,Lattes and Teas, , , , , ,
Iced Chai Eggnog Latte,Lattes and Teas, , , , , ,
Iced Chai Latte,Lattes and Teas, , , , , ,
Iced Chestnut Praline Chai Tea Latte,Lattes and Teas, , , , , ,
Iced Green Tea Latte,Lattes and Teas, , , , , ,
Iced Lightly Sweet Chai Latte,Lattes and Teas, , , , , ,
Jade Citrus Mint Green Tea,Lattes and Teas, , , , , ,
Lightly Sweet Chai Tea Latte,Lattes and Teas, , , , , ,
Matcha Lemonade,Lattes and Teas, , , , , ,
"Mint Majesty""! Herbal Tea",Lattes and Teas, , , , , ,
"Passion Tango""! Herbal Tea",Lattes and Teas, , , , , ,
Peach Tranquility® Herbal Tea,Lattes and Teas, , , , , ,
Royal English Breakfast Tea,Lattes and Teas, , , , , ,
Royal English Breakfast Tea Latte,Lattes and Teas, , , , , ,
Shaken Sweet Tea,Lattes and Teas, , , , , ,
Teavana® Earl Grey Brewed Tea,Lattes and Teas, , , , , ,
Teavana® Joy,Lattes and Teas, , , , , ,
Teavana® London Fog Tea Latte,Lattes and Teas, , , , , ,
Teavana® Organic Chai Tea,Lattes and Teas, , , , , ,
Teavana® Shaken Berry Sangria Herbal Tea,Lattes and Teas, , , , , ,
Teavana® Shaken Iced Black Tea,Lattes and Teas, , , , , ,
Teavana® Shaken Iced Black Tea Lemonade,Lattes and Teas, , , , , ,
Teavana® Shaken Iced Green Tea,Lattes and Teas, , , , , ,
Teavana® Shaken Iced Green Tea Lemonade,Lattes and Teas, , , , , ,
"Teavana® Shaken Iced Passion Tango""! Tea",Lattes and Teas, , , , , ,
"Teavana® Shaken Iced Passion Tango""! Tea Lemonade",Lattes and Teas, , , , , ,
Teavana® Shaken Iced Piña Colada Tea Infusion,Lattes and Teas, , , , , ,
Teavana® Shaken Iced White Tea,Lattes and Teas, , , , , ,
Teavana® Shaken Iced White Tea Lemonade,Lattes and Teas, , , , , ,
Teavana® Shaken Peach Citrus White Tea Infusion,Lattes and Teas, , , , , ,
Teavana® Shaken Peach Citrus White Tea Infusion Lemonade,Lattes and Teas, , , , , ,
Teavana® Shaken Pineapple Black Tea Infusion,Lattes and Teas, , , , , ,
Teavana® Shaken Pineapple Black Tea Infusion Lemonade,Lattes and Teas, , , , , ,
Teavana® Shaken Strawberry Green Tea Infusion,Lattes and Teas, , , , , ,
Teavana® Shaken Strawberry Green Tea Infusion Lemonade,Lattes and Teas, , , , , ,
Teavana® Sparkling Berry Sangria Herbal Tea,Lattes and Teas, , , , , ,
Youthberry® White Tea,Lattes and Teas, , , , , ,
Iced Teavana® London Fog Tea Latte,Lattes and Teas, , , , , ,
"Cool Lime Starbucks Refreshers""! Beverage","Starbucks Refreshers""! Beverages",45,0,11,0,0,
Ombré Pink Drink,"Starbucks Refreshers""! Beverages", , , , , ,
Pink Drink,"Starbucks Refreshers""! Beverages", , , , , ,
"Strawberry Acai Starbucks Refreshers""! Beverage","Starbucks Refreshers""! Beverages",80,0,18,1,0,
"Very Berry Hibiscus Starbucks Refreshers""! Beverage","Starbucks Refreshers""! Beverages",60,0,14,1,0,
Violet Drink,"Starbucks Refreshers""! Beverages", , , , , ,
"Evolution Fresh""!","Starbucks Refreshers""! Beverages",,,,,,
"Evolution Fresh""! Cold-Pressed Apple Berry Juice","Starbucks Refreshers""! Beverages", , , , , ,
"Evolution Fresh""! Orange Juice","Starbucks Refreshers""! Beverages", , , , , ,
"Evolution Fresh""! Organic Ginger Limeade","Starbucks Refreshers""! Beverages",110,0,28,0,0,
"Evolution Fresh""! Super Green","Starbucks Refreshers""! Beverages",130,0,31,0,1,
"Evolution Fresh""! Sweet Greens and Lemon","Starbucks Refreshers""! Beverages",100,0,22,0,2,
Iced Coffee,Cold Brew and Iced Coffee,0,0,0,0,0,
Iced Coffee with Milk,Cold Brew and Iced Coffee, , , , , ,
Iced Espresso Classics  - Vanilla Latte,Cold Brew and Iced Coffee,130,2.5,21,0,5,
Iced Espresso Classics - Caffe Mocha,Cold Brew and Iced Coffee,140,2.5,23,0,5,
Iced Espresso Classics - Caramel Macchiato,Cold Brew and Iced Coffee,130,2.5,21,0,5,
Nariño 70 Cold Brew,Cold Brew and Iced Coffee,0,0,0,0,0,
Nariño 70 Cold Brew with Milk,Cold Brew and Iced Coffee,0,0,0,0,0,
Nitro Cold Brew,Cold Brew and Iced Coffee,5,0,0,0,0,
Nitro Cold Brew with Sweet Cream,Cold Brew and Iced Coffee,70,5,5,0,1,
Starbucks® Caramel Iced Coffee,Cold Brew and Iced Coffee, , , , , ,
Starbucks® Iced Coffee + Milk,Cold Brew and Iced Coffee, , , , , ,
Starbucks® Low Calorie Iced Coffee + Milk,Cold Brew and Iced Coffee, , , , , ,
Starbucks® Vanilla Iced Coffee,Cold Brew and Iced Coffee, , , , , ,
Vanilla Sweet Cream Cold Brew,Cold Brew and Iced Coffee,100,6,12,0,1,
Shaken Sweet Tea,Iced Tea,80,0,19,0,0,
Tazo® Bottled Berry Blossom White,Iced Tea,60,0,15,0,0,
Tazo® Bottled Black Mango,Iced Tea,150,0,38,0,0,
Tazo® Bottled Black with Lemon,Iced Tea,140,0,35,0,0,
Tazo® Bottled Brambleberry,Iced Tea,140,0,35,0,0,
Tazo® Bottled Giant Peach,Iced Tea,150,0,37,0,0,
Tazo® Bottled Iced Passion,Iced Tea,70,0,17,0,0,
Tazo® Bottled Lemon Ginger,Iced Tea,120,0,31,0,0,
Tazo® Bottled Organic Black Lemonade,Iced Tea,140,0,35,0,0,
Tazo® Bottled Organic Iced Black Tea,Iced Tea,60,0,15,0,0,
Tazo® Bottled Organic Iced Green Tea,Iced Tea,120,0,31,0,0,
Tazo® Bottled Plum Pomegranate,Iced Tea,140,0,35,0,0,
Tazo® Bottled Tazoberry,Iced Tea,150,0,38,0,0,
Tazo® Bottled White Cranberry,Iced Tea,140,0,35,0,0,
Teavana® Shaken Iced Black Tea,Iced Tea,30,0,8,0,0,
Teavana® Shaken Iced Black Tea Lemonade,Iced Tea,70,0,17,0,0,
Teavana® Shaken Iced Green Tea,Iced Tea,30,0,8,0,0,
Teavana® Shaken Iced Green Tea Lemonade,Iced Tea,70,0,17,0,0,
"Teavana® Shaken Iced Passion Tango""! Tea",Iced Tea,30,0,8,0,0,
"Teavana® Shaken Iced Passion Tango""! Tea Lemonade",Iced Tea,70,0,17,0,0,
Teavana® Shaken Iced Piña Colada Tea Infusion,Iced Tea, , , , , ,
Teavana® Shaken Peach Citrus White Tea Infusion,Iced Tea,30,0,8,0,0,
Teavana® Shaken Peach Citrus White Tea Infusion Lemonade,Iced Tea,50,0,13,0,0,
Teavana® Shaken Pineapple Black Tea Infusion,Iced Tea,30,0,8,0,0,
Teavana® Shaken Pineapple Black Tea Infusion Lemonade,Iced Tea,50,0,13,0,0,
Teavana® Shaken Strawberry Green Tea Infusion,Iced Tea,30,0,8,0,0,
Teavana® Shaken Strawberry Green Tea Infusion Lemonade,Iced Tea,50,0,13,0,0,
