_	Category	_Calories	_Fat__g_	_Carb___g_	_Fiber__g_	_Protein__g_
Chai Eggnog Latte	Lattes and Teas					
Chai Latte	Lattes and Teas					
Chestnut Praline Chai Tea Latte	Lattes and Teas					
Emperor's Cloud and Mist® Green Tea	Lattes and Teas					
Green Tea Latte	Lattes and Teas					
Honey Citrus Mint Tea	Lattes and Teas					
Iced Chai Eggnog Latte	Lattes and Teas					
Iced Chai Latte	Lattes and Teas					
Iced Chestnut Praline Chai Tea Latte	Lattes and Teas					
Iced Green Tea Latte	Lattes and Teas					
Iced Lightly Sweet Chai Latte	Lattes and Teas					
Jade Citrus Mint Green Tea	Lattes and Teas					
Lightly Sweet Chai Tea Latte	Lattes and Teas					
Matcha Lemonade	Lattes and Teas					
"Mint Majesty""! Herbal Tea"	Lattes and Teas					
"Passion Tango""! Herbal Tea"	Lattes and Teas					
Peach Tranquility® Herbal Tea	Lattes and Teas					
Royal English Breakfast Tea	Lattes and Teas					
Royal English Breakfast Tea Latte	Lattes and Teas					
Shaken Sweet Tea	Lattes and Teas					
Teavana® Earl Grey Brewed Tea	Lattes and Teas					
Teavana® Joy	Lattes and Teas					
Teavana® London Fog Tea Latte	Lattes and Teas					
Teavana® Organic Chai Tea	Lattes and Teas					
Teavana® Shaken Berry Sangria Herbal Tea	Lattes and Teas					
Teavana® Shaken Iced Black Tea	Lattes and Teas					
Teavana® Shaken Iced Black Tea Lemonade	Lattes and Teas					
Teavana® Shaken Iced Green Tea	Lattes and Teas					
Teavana® Shaken Iced Green Tea Lemonade	Lattes and Teas					
"Teavana® Shaken Iced Passion Tango""! Tea"	Lattes and Teas					
"Teavana® Shaken Iced Passion Tango""! Tea Lemonade"	Lattes and Teas					
Teavana® Shaken Iced Piña Colada Tea Infusion	Lattes and Teas					
Teavana® Shaken Iced White Tea	Lattes and Teas					
Teavana® Shaken Iced White Tea Lemonade	Lattes and Teas					
Teavana® Shaken Peach Citrus White Tea Infusion	Lattes and Teas					
Teavana® Shaken Peach Citrus White Tea Infusion Lemonade	Lattes and Teas					
Teavana® Shaken Pineapple Black Tea Infusion	Lattes and Teas					
Teavana® Shaken Pineapple Black Tea Infusion Lemonade	Lattes and Teas					
Teavana® Shaken Strawberry Green Tea Infusion	Lattes and Teas					
Teavana® Shaken Strawberry Green Tea Infusion Lemonade	Lattes and Teas					
Teavana® Sparkling Berry Sangria Herbal Tea	Lattes and Teas					
Youthberry® White Tea	Lattes and Teas					
Iced Teavana® London Fog Tea Latte	Lattes and Teas					
"Cool Lime Starbucks Refreshers""! Beverage"	Starbucks Refre	4	0	1	0	0
Ombré Pink Drink	Starbucks Refre					
Pink Drink	Starbucks Refre					
"Strawberry Acai Starbucks Refreshers""! Beverage"	Starbucks Refre	8	0	1	1	0
"Very Berry Hibiscus Starbucks Refreshers""! Beverage"	Starbucks Refre	6	0	1	1	0
Violet Drink	Starbucks Refre					
"Evolution Fresh""!"	Starbucks Refre					
"Evolution Fresh""! Cold-Pressed Apple Berry Juice"	Starbucks Refre					
"Evolution Fresh""! Orange Juice"	Starbucks Refre					
"Evolution Fresh""! Organic Ginger Limeade"	Starbucks Refre	1	0	2	0	0
"Evolution Fresh""! Super Green"	Starbucks Refre	1	0	3	0	1
"Evolution Fresh""! Sweet Greens and Lemon"	Starbucks Refre	1	0	2	0	2
Iced Coffee	Cold Brew and I	0	0	0	0	0
Iced Coffee with Milk	Cold Brew and I					
Iced Espresso Classics  - Vanilla Latte	Cold Brew and I	1	2	2	0	5
Iced Espresso Classics - Caffe Mocha	Cold Brew and I	1	2	2	0	5
Iced Espresso Classics - Caramel Macchiato	Cold Brew and I	1	2	2	0	5
Nariño 70 Cold Brew	Cold Brew and I	0	0	0	0	0
Nariño 70 Cold Brew with Milk	Cold Brew and I	0	0	0	0	0
Nitro Cold Brew	Cold Brew and I	5	0	0	0	0
Nitro Cold Brew with Sweet Cream	Cold Brew and I	7	5	5	0	1
Starbucks® Caramel Iced Coffee	Cold Brew and I					
Starbucks® Iced Coffee + Milk	Cold Brew and I					
Starbucks® Low Calorie Iced Coffee + Milk	Cold Brew and I					
Starbucks® Vanilla Iced Coffee	Cold Brew and I					
Vanilla Sweet Cream Cold Brew	Cold Brew and I	1	6	1	0	1
Shaken Sweet Tea	Iced Tea	8	0	1	0	0
Tazo® Bottled Berry Blossom White	Iced Tea	6	0	1	0	0
Tazo® Bottled Black Mango	Iced Tea	1	0	3	0	0
Tazo® Bottled Black with Lemon	Iced Tea	1	0	3	0	0
Tazo® Bottled Brambleberry	Iced Tea	1	0	3	0	0
Tazo® Bottled Giant Peach	Iced Tea	1	0	3	0	0
Tazo® Bottled Iced Passion	Iced Tea	7	0	1	0	0
Tazo® Bottled Lemon Ginger	Iced Tea	1	0	3	0	0
Tazo® Bottled Organic Black Lemonade	Iced Tea	1	0	3	0	0
Tazo® Bottled Organic Iced Black Tea	Iced Tea	6	0	1	0	0
Tazo® Bottled Organic Iced Green Tea	Iced Tea	1	0	3	0	0
Tazo® Bottled Plum Pomegranate	Iced Tea	1	0	3	0	0
Tazo® Bottled Tazoberry	Iced Tea	1	0	3	0	0
Tazo® Bottled White Cranberry	Iced Tea	1	0	3	0	0
Teavana® Shaken Iced Black Tea	Iced Tea	3	0	8	0	0
Teavana® Shaken Iced Black Tea Lemonade	Iced Tea	7	0	1	0	0
Teavana® Shaken Iced Green Tea	Iced Tea	3	0	8	0	0
Teavana® Shaken Iced Green Tea Lemonade	Iced Tea	7	0	1	0	0
"Teavana® Shaken Iced Passion Tango""! Tea"	Iced Tea	3	0	8	0	0
"Teavana® Shaken Iced Passion Tango""! Tea Lemonade"	Iced Tea	7	0	1	0	0
Teavana® Shaken Iced Piña Colada Tea Infusion	Iced Tea					
Teavana® Shaken Peach Citrus White Tea Infusion	Iced Tea	3	0	8	0	0
Teavana® Shaken Peach Citrus White Tea Infusion Lemonade	Iced Tea	5	0	1	0	0
Teavana® Shaken Pineapple Black Tea Infusion	Iced Tea	3	0	8	0	0
Teavana® Shaken Pineapple Black Tea Infusion Lemonade	Iced Tea	5	0	1	0	0
Teavana® Shaken Strawberry Green Tea Infusion	Iced Tea	3	0	8	0	0
Teavana® Shaken Strawberry Green Tea Infusion Lemonade	Iced Tea	5	0	1	0	0
Iced Espresso Classics  - Vanilla Latte	Bottled Drinks	1	2	2	0	5
Iced Espresso Classics - Caffe Mocha	Bottled Drinks	1	2	2	0	5
Iced Espresso Classics - Caramel Macchiato	Bottled Drinks	1	2	2	0	5
Iced Espresso Classics - Skinny Caramel Macchiato	Bottled Drinks					
Iced Espresso Classics - Skinny Vanilla Latte	Bottled Drinks	7	0	1	1	6
Starbucks Doubleshot® Energy Coffee Drink	Bottled Drinks					
Starbucks Doubleshot® Energy Mexican Mocha	Bottled Drinks					
Starbucks Doubleshot® Energy Mocha Drink	Bottled Drinks					
Starbucks Doubleshot® Energy Vanilla Drink	Bottled Drinks					
Starbucks Doubleshot® Energy White Chocolate Drink	Bottled Drinks					
Starbucks Doubleshot® Energy+Cinnamon Dolce Drink	Bottled Drinks					
Starbucks Doubleshot® Espresso Cubano	Bottled Drinks					
Starbucks Doubleshot® Espresso Drink	Bottled Drinks					
Starbucks Doubleshot® Espresso Salted Caramel Cream	Bottled Drinks					
Starbucks Doubleshot® Light Espresso Drink	Bottled Drinks					
