Timestamp,Do you like cats?,Do you like dogs?,"If you were stranded on a desert island, what is the one item you want to have with you?","If you were to create a slogan for your life, what would the slogan be? (Examples: ""Eat, drink, and be merry, for tomorrow, we all die."" ""Bite off more than you can chew."" ""There are far better things ahead than any we leave behind."")",What is your favorite day of the week?,"Are you a lark, an owl, or a hummingbird?",What is your favorite food?,What is your favorite drink?,What is your favorite season?,What is your favorite Month?,What is one hobby that you enjoy?,What is your degree program?,What is your primary specialization?,What is your primary statistical software?,"What is your level of R experience (1=None, 5=Advanced)?",How comfortable are you with coding?,How long have you been coding (in years or months)?,What are three things you hope to learn in this course?,"What is your major public health area of interest (e.g. cancer, heart disease, maternal child health, disparities, etc.)?",What is your favorite number?,What is your birth day (e.g. October 28-report 28)?,What is your birth month (e.g. October 28-report 10)?,What is your home country?,What is your home state/province/etc?,What is your home city?,What is your highest education level?
2025/08/24 8:45:03 AM EST,Yes,Yes,My phone ofc,"""Living with purpose, leaving with meaning.""",Friday,Lark ( I am a morning person),Injera with anything :-) (  it's an Ethiopian soft Traditional bread),Fanta ,Spring,June,chess ,MPH only,Epidemiology/Biostatistics,SPSS,2,2,0-3 months,"1. Code better
2. Application in a real-world scenario
3. How to interpret my analysis better for different audience ",Health Insurance and Nutrition.,28,10,6,Ethiopia,Addis Ketema,Addis Ababa,Bachelor's degree
2025/08/25 1:24:15 PM EST,No,Yes,Bible,Every moment is a new beginning!,Saturday,Hummingbird (I am neither a lark nor an owl),Stake,Coffee,Fall,September,Watching football,MPH only,Epidemiology/Biostatistics,SPSS,2,2,0-3 months,"Use R comfortably, start coding confidently, and apply advanced methods to real data",Oncology,1,13,03,USA,MO,St. Louis,Bachelor's degree
2025/08/25 11:03:02 AM EST,No,Yes,Bible,"Work hard, Play Hard",Thursday,Lark ( I am a morning person),Ethiopian Cusine-Doro Wot is my favourite,Coffee,Fall,September,Soccer,MPH only,Epidemiology/Biostatistics,SPSS,2,2,0-3 months,"Coding,data analysis in a very great detail",cancer,7,18,06,Ethiopia,Addis Ababa,Addis Ababa,Bachelor's degree
2025/08/25 1:32:54 PM EST,Ambivalent,Yes, atmospheric water generator,,Friday,Hummingbird (I am neither a lark nor an owl),Steak Sandwich with chimichurri,Tequila lol Im jk I would say Ginger Ale,Spring,May,Language Learning ,MPH only,Epidemiology/Biostatistics,SPSS,2,2,0-3 months,"All the necessary skill set to be able to handle and interact with biostatisticians as part of a research team, such as improving my R skills and and learn a bit about how to handel complex regression models.",Cancer,3,5,Septemeber,Ethiopia,Addis Ababa,Addis Ababa,Doctoral degree
2025/08/23 9:40:09 PM EST,No,Ambivalent,Water,Thanks to God for his indescribable gifts,Saturday,Owl (I am a night person),Chopped meat,Water,Fall,May,Soccer,MPH only,Epidemiology/Biostatistics,SPSS,1,2,0-3 months,"Coding, R Studio, and Analysis",Non communicable disease and quality of healthcare delivery,17,13,05,Ethiopia,Addis Ababa,Addis Ababa,Master's degree
2025/08/25 10:11:13 AM EST,Yes,Yes,Matches,Live every moment to the fullest.,Saturday,Hummingbird (I am neither a lark nor an owl),Pizza,Coffee,Spring,May,Reading,MPH only,Epidemiology/Biostatistics,SPSS,3,3,9 months to 1 year,"I hope to gain an overall greater proficiency in R, learn how to effectively translate statistical results and theories into public health actions, and learn to create more complex data visualizations in R.",Chronic disease prevention and community health,29,1,5,United States,Kansas,Baldwin City,Bachelor's degree
2025/08/11 2:26:21 PM EST,No,Yes,Wings,To neglect good is to commit evil.,Thursday,Owl (I am a night person),Guacamole,Water,Spring,December,working-out,MPH/MBA,Epidemiology/Biostatistics,R,3,3,>1 to 2 years,Better understanding of coding,Heart disease,5,6,4,Ethiopia,South,Hawassa,Bachelor's degree
2025/08/26 10:19:46 AM EST,Yes,Yes,Solar charged battery,Just start ,Monday,Lark ( I am a morning person),Pasta,Mango smoothie,Spring,June,Running,MPH only,Epidemiology/Biostatistics,SPSS,2,2,0-3 months,How to apply statistics to real life problems ,Clean energy ,7,17,6,US,MO,St.Louis ,Bachelor's degree
2025/08/26 11:44:11 AM EST,Yes,Yes,Umbrella ,Sweet treats after meal have zero calories ,Saturday,Owl (I am a night person),Chicken biryani ,Mango juice ,Spring,November,Table tennis ,MPH only,Epidemiology/Biostatistics,SPSS,2,1,0-3 months,Coding independently ,Cancer ,7,30,11,Pakistan ,Khyber Pakhtunkhwa ,Chitral ,Bachelor's degree
2025/08/18 9:32:45 PM EST,No,Ambivalent,Water,I keep my eye on the things far above ,Monday,Hummingbird (I am neither a lark nor an owl),Jollof rice and Salad,Fruit Juice,Spring,January,Playing Lawn Tennis,MPH only,Epidemiology/Biostatistics,SPSS,2,1,0-3 months,"SAS, Advanced Analysis and Coding",None  ,1,01,01,Nigeria,Anambra,Nanka,Doctoral degree
