ID,Do you like cats?,Do you like dogs?,"If you were stranded on a desert island, what is the one item you want to have with you?","If you were to create a slogan for your life, what would the slogan be? (Examples: ""Eat, drink, and be merry, for tomorrow, we all die."" ""Bite off more than you can chew."" ""There are far better things ahead than any we leave behind."")",What is your favorite day of the week?,"Are you a lark, an owl, or a hummingbird?",What is your favorite food?,What is your favorite drink?,What is your favorite season?,What is your favorite Month?,What is one hobby that you enjoy?,What is your degree program?,What is your primary specialization?,What is your primary statistical software?,"What is your level of R experience (1=None, 5=Advanced)?",How comfortable are you with coding?,How long have you been coding (in years or months)?,What are three things you hope to learn in this course?,"What is your major public health area of interest (e.g. cancer, heart disease, maternal child health, disparities, etc.)?",What is your favorite number?,"What is your birth day (e.g. October 28, report ""28"" without quotation marks)?","What is your birth month (e.g. for October 28, report ""10"" without quotation marks)?",What is your home country?,What is your home state/province/etc?,What is your home city?,What is your highest education level?
1,No,Yes,a knife ,Let's get'er done ,Friday,Lark ( I am a morning person),Stuffed grape leaves,Sparkling water,Fall,September,Hiking,MPH only,Epidemiology/Biostatistics,R,4,4,4-6 months,Deepen my analysis skills,Prevention ,3,16,1,Israel,,Jerusalem,Bachelor's degree
2,Yes,Yes,Food,"Shoot for the moon. Even if you miss, you'll land among the stars.",Saturday,Owl (I am a night person),Sandwiches,Coffee,Fall,October,Reading,MPH only,Generalist,SPSS,3,2,4-6 months,"More experience with coding, the ability to analyze complex data sets, ideas on how to implement what we learn from data sets",Women's mental health,7,27,10,U.S.A,Missouri,St. Louis,Bachelor's degree
3,Yes,Yes,A raft,Let it be done to me according to thy word,Sunday,Hummingbird (I am neither a lark nor an owl),Street tacos from San Antonio or south,Coffee,Fall,October,Hiking,MPH only,Epidemiology/Biostatistics,R,4,4,9 months to 1 year,"I hope to improve my R skills, improve at data management and learn new methods for analyzing data. ","Chronic disease prevention, end of life care, elder care",12,29,10,United States,Missouri,St. Louis,Master's degree
4,Yes,Yes,Bible,There are far better things ahead than any we leave behind.,Wednesday,Lark ( I am a morning person),Bank and Okra Stew,NA,Fall,May,Playing drums and volley ball,MPH only,Epidemiology/Biostatistics,R,3,3,4-6 months,"Improve my understanding and skills in statistical coding.
Strengthen my advanced data analysis skills.
Advance my ability to interpret and communicate results from complex data analyses. ","maternal health, perinatal mental health, pregnancy-related outcomes, and health disparities.",9,9,May,Ghana,Eastern,Kwahu,Bachelor's degree
5,Yes,Yes,Bible,"Stay humble, serve with purpose, and keep moving forward.",Thursday,Hummingbird (I am neither a lark nor an owl),Beef stew,Coke,Spring,September,Listening to music (Pop),MPH only,Epidemiology/Biostatistics,SPSS,3,3,>1 to 2 years,"General Linear Models, Survival analysis & R coding",Autoimmune & rheumatologic diseases,4,22,11,Ethiopia,Oromia,Deder,Bachelor's degree
6,Ambivalent,Yes,GPS,"Now faith is the assurance of things hoped for, the conviction of things not seen",Friday,Owl (I am a night person),Doro wot,Water ,Spring,October,Running ,MPH only,Epidemiology/Biostatistics,R,4,3,7-9 months,Coding ,Geriatrics ,11,7,10,Ethiopia ,Hawasa,Hawasa,Master's degree
7,No,Yes,My phone,Today is the beginning of the rest of your life,Saturday,Lark ( I am a morning person),Lasagna,Milk,Spring,November,Listening to music,MPH only,Epidemiology/Biostatistics,R,4,4,4-6 months,"Understanding advanced data analysis skills, understanding various methodological aspects, and proficiency in R coding",Data-driven decision-making and health policy,10,27,March,Ethiopia,Addis Ababa,Addis Ababa,Bachelor's degree
8,No,Ambivalent,food,life goes on,Friday,Hummingbird (I am neither a lark nor an owl),fufu,water,Fall,October,basketball,MPH only,Epidemiology/Biostatistics,R,3,2,4-6 months,"R/coding,  more data analysis tools, connect the dots in biostats/data modeling",non-communicable diseases,7,11,10,Ghana,Ashanti region,Kumasi,Bachelor's degree
9,No,No,water,Mind my business,Saturday,Lark ( I am a morning person),Rice,coke,Summer,January,watching soccer,MPH only,Epidemiology/Biostatistics,Excel,2,2,0-3 months,Apply knowlegde,,,,,Ghana,,Accra,Master's degree
10,Ambivalent,Yes,Water,Never give up!,Friday,Lark ( I am a morning person),Rice with tomato sauce and chicken,Coke,Spring,November,Making friends,MPH only,Epidemiology/Biostatistics,Excel,3,2,4-6 months,Improve my data analysis prowess,"Maternal and child health, Health insurance, Cancer epidemiology",7,30-Nov,November,Ghana,Ghana,Accra,Doctoral degree
11,Yes,Yes,My phone,"If you don't make a decision, a decision will be made for you.",Friday,Hummingbird (I am neither a lark nor an owl),Dark chocolate,Iced latte,Fall,June,Knitting,MPH only,Epidemiology/Biostatistics,SPSS,2,4,>2 years,"1. Data analysis techniques in R
2. Data visualization
3. Poisson regression",Psychiatric epidemiology,7,30,6,United States,Missouri,Chesterfield,Bachelor's degree
12,Ambivalent,Ambivalent,Map/Navigation tools,"""It's not about whether I can or not. I'm gonna do it because I want to""",Saturday,Hummingbird (I am neither a lark nor an owl),Biryani,Rose Milk ,Winter,January,Playing online games,MPH only,Epidemiology/Biostatistics,SPSS,3,3,4-6 months,"1. Code better in R,
2. Ability to choose the best method/model, 
3. To utilize the data more efficiently ",Cancer and Non-communicable diseases.,3,3,1,India,Tamil Nadu,Cuddalore,Bachelor's degree
13,Yes,Yes,Plane,Everything happens for good.,Thursday,Owl (I am a night person),Lasagna,Water,Fall,August,People-watching,MPH only,Epidemiology/Biostatistics,SPSS,3,3,0-3 months,"Coding, selecting appropriate analytical approach for research questions, and effective data interpretation.",Heart disease,6,2,8,Ethiopia,Addis Ababa,Addis Ababa,Bachelor's degree
